,positive,neutral,negative
7586,Excellent.,"Nice, but he was missing some zircons. It seems to be steel, silver is not.",I did not receive the goods. Very Long did not send. In the combined parcel did not hit. Eventually lost on the road. Opened a dispute. The seller was against it. Ali returned the money
7587,All OK. Thanks,The ring comes very well in ballad but I thought the balls were somewhat thicker they are very fine still very pretty and worth it. The seller sent it very well protected.,"For three months, the goods never did. He's in customs."
7588,OK functional,"One of the stones is burnt, the final finish is filled with glue and the pink stone is much clearer","So nothing has come, the order has automatically become executed..."
7589,Excellent!,"Sweet it took 19 days, just I imagined it show but it's not very nice to wear","The goods did not come, what can be the feedback?"
7590,all perfect!!!!,I thought it would be better quality. wouldn't wear it.,They write that the goods are received. the 4th month went. There's no hearing!
7591,THANKS DEAL,It's not as pretty as it is in the picture. The flower is undelicate and it looks like it can,Did not come
7592,I don’t know how to use it,"Looks good, but the ring size is wrong - according to the size table a 9 should be 59,5mm, while the ring in reality has almost 70 mm. It's is too big, it doesn't fit at all.","The goods did not come, the money was returned
"
7593,All good thank you,It just got it.... it kinda feels like plastic but it’s not.,"This product has not arrived, the money was returned"
7594,All ok,Looks like old silver. It's not as bright as on the page,Order did not come
7595,ok,45 days delivery. The ring is dark and small. It is better to buy from another seller.,"Still not arrived.
More don't invite the familiar with this"
7596,Ok,The ring is very nice but it is a different measure 7 in fact it goes only to the thumb,And did not receive the goods within three months
7597,ok,"The picture not very consistent with the ring.
Found very coarse",The product never came
7598,Quickly and efficiently. Recommend,Unfortunately no mesh,nothing ever received in mail
7599,perfect,"felt cheap and didn't look as detailed, part of a heart was filled in.","The goods did not come, the money was returned."
7600,thank you it arrived on time.,Quality less good. Ring with various defects,"Got nothing, sorry about the time spent."
7601,Perfect,"In general, the ring is good, the size corresponds to the grid and the sizes of Pandora, do not take more, take your own, stains on the reverse side, the seller did not want to return money, but offered to send something for cleansing. Very fast shipping!",The goods are not delivered
7602,"Arrived in Italy in about a month and a half. Brushes beautiful to see. Medium length, handy. Stiff bristles the right. Each brush is numbered",It is not the same as the picture!,The goods have not been received. Opened a dispute.
7603,"Excellent brushes-exactly what I wanted. I took it for gel. Brushes are soft enough to apply the gel to the leveling layer. Brushes of different sizes, so that they will suit for small little fingers and for large nails. Quality is good, I'm happy",I 've only been able to wear it one day since it broke.,The goods did not deliver. The dispute didn't work out.
7604,"Came brushes quickly, combined with other orders. In appearance, excellent brushes. What quality-this will show time, I'll add a review later.",They 've come bigger than we ask.,Poorly packaged. The glue spilled.
7605,"Good brushes in appearance, not yet tried) the seller put as a gift another small file)",Simple Rings,Never received. Never received :-(
7606,Perfect! As in the description! More than to test. Delivery in 3 weeks,well,"The goods did not come, the money did not return"
7607,The order came quickly. The whole thing. The pile is pleasant in moderation hard.,In the image it seems more than it is,"The goods did not come, the money was returned"
7608,Good texture brush hairs and brought a small lime gift. Thank you recommended,Huge sizes,"Ordered black, came colorless"
7609,"In transport glue. As I try, I'll add a review. Finished quite quickly in the national package.",Good Hope you don't face black.,Order and not alien
